student_id,Frame,Emotions,Main Emotion,Face Position
student_2,40,"{'angry': 0.007633979567163337, 'disgust': 3.208273660341022e-06, 'fear': 99.98950362142942, 'happy': 0.0004168259486660694, 'sad': 0.0024136242774868886, 'surprise': 2.9367153660683273e-05, 'neutral': 1.6106725802792773e-06}",fear,"{'x': 1233, 'y': 603, 'w': 51, 'h': 63, 'left_eye': (1244, 629), 'right_eye': (1266, 633)}"
student_3,40,"{'angry': 92.94125521883306, 'disgust': 4.02739233913656e-06, 'fear': 0.03713831677687862, 'happy': 0.02371197487448083, 'sad': 0.44941822297355855, 'surprise': 0.00014624944772621566, 'neutral': 6.5483204664802}",angry,"{'x': 757, 'y': 475, 'w': 27, 'h': 38, 'left_eye': (761, 490), 'right_eye': (775, 490)}"
student_4,40,"{'angry': 4.574435377053663, 'disgust': 0.00948257042446082, 'fear': 79.94574069329985, 'happy': 10.787561331696669, 'sad': 4.618051453596527, 'surprise': 0.00787253541772676, 'neutral': 0.05685926976426181}",fear,"{'x': 602, 'y': 489, 'w': 22, 'h': 29, 'left_eye': (605, 501), 'right_eye': (616, 501)}"
student_1,50,"{'angry': 89.85047340393066, 'disgust': 6.2033187475663e-06, 'fear': 0.07506610709242523, 'happy': 0.0003431412096688291, 'sad': 2.697465941309929, 'surprise': 2.3449065622571652e-05, 'neutral': 7.376619428396225}",angry,"{'x': 1453, 'y': 590, 'w': 62, 'h': 67, 'left_eye': (1470, 615), 'right_eye': (1498, 621)}"
student_0,50,"{'angry': 3.476876564434406e-07, 'disgust': 1.0335508727891182e-13, 'fear': 5.222212592914666e-09, 'happy': 99.99994039535522, 'sad': 7.156451875545145e-07, 'surprise': 2.557224019738018e-13, 'neutral': 6.242402719180973e-05}",happy,"{'x': 514, 'y': 599, 'w': 57, 'h': 72, 'left_eye': (519, 631), 'right_eye': (538, 626)}"
student_2,50,"{'angry': 0.05988827324472368, 'disgust': 0.07257789256982505, 'fear': 89.25876021385193, 'happy': 9.52925905585289, 'sad': 0.4559758584946394, 'surprise': 0.4088619723916054, 'neutral': 0.21467707119882107}",fear,"{'x': 1235, 'y': 604, 'w': 50, 'h': 62, 'left_eye': (1245, 630), 'right_eye': (1266, 633)}"
student_3,50,"{'angry': 42.508986592292786, 'disgust': 6.0591496264805755e-06, 'fear': 0.012600558693520725, 'happy': 0.1735509722493589, 'sad': 1.6117991879582405, 'surprise': 0.002457046866766177, 'neutral': 55.690598487854004}",neutral,"{'x': 758, 'y': 476, 'w': 26, 'h': 37, 'left_eye': (762, 490), 'right_eye': (775, 490)}"
student_4,50,"{'angry': 0.0005016769137000665, 'disgust': 3.5537615872272e-05, 'fear': 0.008973066724138334, 'happy': 99.98455047607422, 'sad': 0.0011852204806928057, 'surprise': 0.00041780181163630914, 'neutral': 0.004335211997386068}",happy,"{'x': 601, 'y': 488, 'w': 23, 'h': 32, 'left_eye': (605, 500), 'right_eye': (616, 501)}"
student_1,60,"{'angry': 39.24501836299896, 'disgust': 0.0264158530626446, 'fear': 2.587023004889488, 'happy': 23.091210424900055, 'sad': 8.278083056211472, 'surprise': 0.0018802471458911896, 'neutral': 26.770368218421936}",angry,"{'x': 1454, 'y': 591, 'w': 60, 'h': 64, 'left_eye': (1473, 615), 'right_eye': (1499, 620)}"
student_0,60,"{'angry': 0.0160712210345082, 'disgust': 2.6053678311988016e-09, 'fear': 7.0716339450882515e-06, 'happy': 99.98291730880737, 'sad': 0.0005457041424961062, 'surprise': 1.5084896873296394e-09, 'neutral': 0.00045749561650154646}",happy,"{'x': 516, 'y': 604, 'w': 55, 'h': 65, 'left_eye': (521, 632), 'right_eye': (543, 629)}"
student_2,60,"{'angry': 0.14919391833245754, 'disgust': 0.11188674252480268, 'fear': 72.69498705863953, 'happy': 4.1027843952178955, 'sad': 22.701920568943024, 'surprise': 0.021176830341573805, 'neutral': 0.21805749274790287}",fear,"{'x': 1235, 'y': 605, 'w': 52, 'h': 63, 'left_eye': (1245, 629), 'right_eye': (1267, 632)}"
student_3,60,"{'angry': 99.73828196525574, 'disgust': 4.088609273367183e-06, 'fear': 0.06896486738696694, 'happy': 0.00011168973514941172, 'sad': 0.11872610775753856, 'surprise': 3.7100701888448384e-05, 'neutral': 0.0738730130251497}",angry,"{'x': 757, 'y': 477, 'w': 26, 'h': 37, 'left_eye': (762, 491), 'right_eye': (775, 491)}"
student_4,60,"{'angry': 0.06322784465737641, 'disgust': 0.0037760899431305006, 'fear': 1.6980880871415138, 'happy': 98.13282489776611, 'sad': 0.0684067839756608, 'surprise': 0.0010116231351275928, 'neutral': 0.03266663698013872}",happy,"{'x': 602, 'y': 488, 'w': 23, 'h': 30, 'left_eye': (605, 500), 'right_eye': (616, 500)}"
student_0,70,"{'angry': 0.4616247871071354, 'disgust': 9.837251617442922e-07, 'fear': 0.0006083483824682488, 'happy': 99.53344469863836, 'sad': 0.001185286459660468, 'surprise': 7.953675658068458e-08, 'neutral': 0.0031311581456910423}",happy,"{'x': 515, 'y': 604, 'w': 62, 'h': 73, 'left_eye': (525, 634), 'right_eye': (548, 632)}"
student_2,70,"{'angry': 4.5274040566327605, 'disgust': 0.28567483488767353, 'fear': 61.75156603762901, 'happy': 1.060099683558922, 'sad': 31.784914838368586, 'surprise': 5.6769235898562916e-05, 'neutral': 0.5902808511424572}",fear,"{'x': 1234, 'y': 603, 'w': 52, 'h': 68, 'left_eye': (1247, 631), 'right_eye': (1270, 635)}"
student_1,70,"{'angry': 97.41207345796069, 'disgust': 5.59613261508505e-11, 'fear': 0.01141609240964047, 'happy': 1.8739374903001294e-05, 'sad': 0.7844942158159146, 'surprise': 1.4000958383409677e-05, 'neutral': 1.7919914002413393}",angry,"{'x': 1464, 'y': 595, 'w': 50, 'h': 61, 'left_eye': (1475, 618), 'right_eye': (1497, 623)}"
student_3,70,"{'angry': 58.5610568523407, 'disgust': 2.465367572312971e-05, 'fear': 0.1024360884912312, 'happy': 0.0168953716638498, 'sad': 5.027160793542862, 'surprise': 0.000538123595106299, 'neutral': 36.291882395744324}",angry,"{'x': 758, 'y': 477, 'w': 27, 'h': 37, 'left_eye': (762, 491), 'right_eye': (776, 491)}"
student_4,70,"{'angry': 0.00012514945701859215, 'disgust': 0.00018372160142496693, 'fear': 0.0022308973222644334, 'happy': 99.99285340266546, 'sad': 0.0038199780195519264, 'surprise': 1.8763834627595013e-05, 'neutral': 0.0007688297504373863}",happy,"{'x': 602, 'y': 489, 'w': 23, 'h': 30, 'left_eye': (606, 500), 'right_eye': (617, 501)}"
student_0,80,"{'angry': 4.071418047146835e-06, 'disgust': 7.898160458985615e-08, 'fear': 2.5378055212854633e-08, 'happy': 99.99998807907104, 'sad': 9.862763761248061e-06, 'surprise': 4.3364838528067457e-13, 'neutral': 3.825808647661688e-06}",happy,"{'x': 521, 'y': 602, 'w': 57, 'h': 70, 'left_eye': (528, 631), 'right_eye': (551, 629)}"
student_2,80,"{'angry': 0.021920871073785934, 'disgust': 0.09900314624998845, 'fear': 10.08156523594649, 'happy': 89.35267265752987, 'sad': 0.10870526959852991, 'surprise': 0.06421977687633197, 'neutral': 0.27190951388534984}",happy,"{'x': 1237, 'y': 606, 'w': 51, 'h': 62, 'left_eye': (1248, 630), 'right_eye': (1271, 634)}"
student_1,80,"{'angry': 75.63550472259521, 'disgust': 5.213599517384093e-10, 'fear': 0.014178329729475081, 'happy': 1.142437611179048e-06, 'sad': 5.392118915915489, 'surprise': 3.657793179456803e-07, 'neutral': 18.9581960439682}",angry,"{'x': 1466, 'y': 597, 'w': 49, 'h': 60, 'left_eye': (1480, 619), 'right_eye': (1502, 624)}"
student_3,80,"{'angry': 0.6694207832617034, 'disgust': 2.081481812464485e-09, 'fear': 0.01295775514263318, 'happy': 0.0010381147767783568, 'sad': 1.3494675852040998, 'surprise': 1.6678689646532443e-06, 'neutral': 97.967111943192}",neutral,"{'x': 758, 'y': 476, 'w': 27, 'h': 37, 'left_eye': (763, 490), 'right_eye': (776, 491)}"
student_4,80,"{'angry': 0.015933748647086483, 'disgust': 0.03256075627377555, 'fear': 46.738481910409696, 'happy': 53.12494002283334, 'sad': 0.08704565242692501, 'surprise': 0.0001231053341728854, 'neutral': 0.0009122905616316089}",happy,"{'x': 602, 'y': 489, 'w': 23, 'h': 30, 'left_eye': (607, 500), 'right_eye': (619, 501)}"
student_0,90,"{'angry': 2.2499611418425047e-05, 'disgust': 8.010889729348492e-07, 'fear': 1.1054537196741876e-05, 'happy': 99.99958276748657, 'sad': 4.095071801657468e-05, 'surprise': 3.5818217836158794e-08, 'neutral': 0.00034457284527888987}",happy,"{'x': 525, 'y': 605, 'w': 59, 'h': 69, 'left_eye': (535, 633), 'right_eye': (561, 629)}"
student_1,90,"{'angry': 96.1076021194458, 'disgust': 0.00012422440249793, 'fear': 0.0503690738696605, 'happy': 0.0003589762854971923, 'sad': 1.186919305473566, 'surprise': 2.2755499173854332e-05, 'neutral': 2.654601074755192}",angry,"{'x': 1461, 'y': 593, 'w': 55, 'h': 61, 'left_eye': (1476, 618), 'right_eye': (1502, 623)}"
student_2,90,"{'angry': 2.5844682652392073, 'disgust': 0.011971762460995843, 'fear': 97.12760482697429, 'happy': 0.2558524881032123, 'sad': 0.015090012695620186, 'surprise': 0.003988545611003564, 'neutral': 0.0010245093705775687}",fear,"{'x': 1235, 'y': 606, 'w': 52, 'h': 62, 'left_eye': (1246, 629), 'right_eye': (1270, 634)}"
student_3,90,"{'angry': 0.02156014379579574, 'disgust': 1.6088143317549708e-08, 'fear': 0.0016018648238969035, 'happy': 0.3942009527236223, 'sad': 0.1116045517846942, 'surprise': 0.0002076931423289352, 'neutral': 99.47082996368408}",neutral,"{'x': 763, 'y': 477, 'w': 28, 'h': 38, 'left_eye': (772, 492), 'right_eye': (786, 492)}"
student_4,90,"{'angry': 5.9067502617836, 'disgust': 0.00018929008547274861, 'fear': 6.665544956922531, 'happy': 0.0001192902118418715, 'sad': 87.42470741271973, 'surprise': 5.1771877451756154e-05, 'neutral': 0.002631778443173971}",sad,"{'x': 603, 'y': 489, 'w': 25, 'h': 30, 'left_eye': (609, 501), 'right_eye': (621, 501)}"
student_0,100,"{'angry': 5.57678426008068e-10, 'disgust': 3.1167529359254695e-12, 'fear': 7.314112558881938e-12, 'happy': 100.0, 'sad': 4.762051863949068e-09, 'surprise': 1.4552530865465443e-12, 'neutral': 9.6439602970122e-07}",happy,"{'x': 533, 'y': 600, 'w': 57, 'h': 69, 'left_eye': (544, 629), 'right_eye': (569, 626)}"
student_1,100,"{'angry': 49.0263729707225, 'disgust': 2.5468038086567816e-07, 'fear': 0.03851615413095231, 'happy': 0.003463596864994801, 'sad': 2.5774517701537474, 'surprise': 0.00012477829220867547, 'neutral': 48.35406830037047}",angry,"{'x': 1456, 'y': 594, 'w': 60, 'h': 65, 'left_eye': (1475, 618), 'right_eye': (1500, 624)}"
student_2,100,"{'angry': 46.68009877204895, 'disgust': 1.7315529987627087e-05, 'fear': 53.316473960876465, 'happy': 0.0026497169528738596, 'sad': 0.0007532416475442005, 'surprise': 4.61098998982834e-06, 'neutral': 2.2132708998867656e-07}",fear,"{'x': 1235, 'y': 606, 'w': 52, 'h': 61, 'left_eye': (1247, 630), 'right_eye': (1270, 633)}"
student_3,100,"{'angry': 0.020844556274823844, 'disgust': 6.26076482324045e-09, 'fear': 0.005000403325539082, 'happy': 62.66937255859375, 'sad': 0.18211910501122475, 'surprise': 0.00026729148885351606, 'neutral': 37.12238967418671}",happy,"{'x': 764, 'y': 479, 'w': 26, 'h': 34, 'left_eye': (775, 492), 'right_eye': (788, 492)}"
student_4,100,"{'angry': 40.64062237739563, 'disgust': 0.5854554008692503, 'fear': 12.969504296779633, 'happy': 0.010869879042729735, 'sad': 44.49823498725891, 'surprise': 0.20038809161633253, 'neutral': 1.0949179530143738}",sad,"{'x': 605, 'y': 488, 'w': 25, 'h': 31, 'left_eye': (612, 500), 'right_eye': (624, 500)}"
student_0,110,"{'angry': 2.838232947277586e-09, 'disgust': 5.547479657716167e-13, 'fear': 2.2970157100997337e-13, 'happy': 99.99991655349731, 'sad': 4.207162118685659e-08, 'surprise': 3.3465031689782626e-12, 'neutral': 8.209497650568665e-05}",happy,"{'x': 532, 'y': 598, 'w': 57, 'h': 71, 'left_eye': (541, 630), 'right_eye': (565, 626)}"
student_1,110,"{'angry': 98.44835987379312, 'disgust': 7.385917669165337e-05, 'fear': 0.0004604442257693088, 'happy': 0.3553027731733187, 'sad': 0.3818573192123961, 'surprise': 1.6512989294319838e-06, 'neutral': 0.8139506467551378}",angry,"{'x': 1459, 'y': 592, 'w': 55, 'h': 61, 'left_eye': (1476, 618), 'right_eye': (1500, 623)}"
student_2,110,"{'angry': 67.28724837303162, 'disgust': 0.2616995247080922, 'fear': 32.14704096317291, 'happy': 0.09558253223076463, 'sad': 0.20571239292621613, 'surprise': 8.958477337728254e-05, 'neutral': 0.002625369052111637}",angry,"{'x': 1236, 'y': 606, 'w': 51, 'h': 60, 'left_eye': (1248, 630), 'right_eye': (1270, 633)}"
