student_id,Frame,Emotions,Main Emotion,Face Position
student_5,30,"{'angry': 0.0580672116484493, 'disgust': 4.545144065559725e-05, 'fear': 12.405166029930115, 'happy': 55.566900968551636, 'sad': 5.875635519623756, 'surprise': 0.0007275595180544769, 'neutral': 26.093459129333496}",happy,"{'x': 125, 'y': 413, 'w': 147, 'h': 197, 'left_eye': (223, 500), 'right_eye': (255, 489)}"
student_0,40,"{'angry': 0.0014112758572275659, 'disgust': 5.266369177723179e-10, 'fear': 6.594194483737502e-05, 'happy': 99.95260239212485, 'sad': 0.0012489576295562307, 'surprise': 0.04129267853175956, 'neutral': 0.003372053795845354}",happy,"{'x': 1346, 'y': 246, 'w': 145, 'h': 174, 'left_eye': (1397, 318), 'right_eye': (1465, 310)}"
student_3,40,"{'angry': 0.005901217070224595, 'disgust': 1.1380512322508144e-06, 'fear': 9.756772056625609, 'happy': 1.108770511077077, 'sad': 85.72982464610484, 'surprise': 0.02602611939950999, 'neutral': 3.3727044387283587}",sad,"{'x': 1696, 'y': 336, 'w': 114, 'h': 188, 'left_eye': (1718, 409), 'right_eye': (1724, 410)}"
student_5,40,"{'angry': 0.1870762100948441, 'disgust': 7.412588325460977e-07, 'fear': 0.26238138453586285, 'happy': 81.60243253678888, 'sad': 0.21937894348008113, 'surprise': 0.0003428844184395107, 'neutral': 17.728378745510728}",happy,"{'x': 123, 'y': 403, 'w': 151, 'h': 192, 'left_eye': (220, 485), 'right_eye': (258, 475)}"
student_2,40,"{'angry': 0.32163062132894993, 'disgust': 6.347045666821316e-08, 'fear': 2.031428925693035, 'happy': 1.5651316687126382e-06, 'sad': 87.50255107879639, 'surprise': 5.749511977626298e-07, 'neutral': 10.144390910863876}",sad,"{'x': 448, 'y': 167, 'w': 106, 'h': 133, 'left_eye': (487, 230), 'right_eye': (532, 226)}"
student_1,40,"{'angry': 0.005645118289976381, 'disgust': 2.374639374025378e-08, 'fear': 28.876984119415283, 'happy': 9.146355495204261e-06, 'sad': 70.90518474578857, 'surprise': 2.024435064029717e-07, 'neutral': 0.21217975299805403}",sad,"{'x': 525, 'y': 433, 'w': 135, 'h': 207, 'left_eye': (544, 523), 'right_eye': (568, 531)}"
student_4,40,"{'angry': 39.242544770240784, 'disgust': 0.0018655757230590098, 'fear': 0.695851119235158, 'happy': 0.04463789809960872, 'sad': 25.294223427772522, 'surprise': 0.004382077895570546, 'neutral': 34.71649885177612}",angry,"{'x': 1047, 'y': 87, 'w': 98, 'h': 133, 'left_eye': (1067, 144), 'right_eye': (1111, 145)}"
student_5,50,"{'angry': 0.0077547854743897915, 'disgust': 1.0641654313303661e-05, 'fear': 4.091216251254082, 'happy': 25.243180990219116, 'sad': 0.8385211229324341, 'surprise': 0.01182744381367229, 'neutral': 69.80749368667603}",neutral,"{'x': 114, 'y': 392, 'w': 154, 'h': 190, 'left_eye': (202, 472), 'right_eye': (255, 462)}"
student_0,50,"{'angry': 0.17818851629272103, 'disgust': 2.6970539579451724e-06, 'fear': 0.6524696946144104, 'happy': 47.0808207988739, 'sad': 0.011553031072253361, 'surprise': 52.00679898262024, 'neutral': 0.07016874151304364}",surprise,"{'x': 1354, 'y': 233, 'w': 142, 'h': 179, 'left_eye': (1404, 305), 'right_eye': (1470, 303)}"
student_2,50,"{'angry': 0.10848507517948747, 'disgust': 6.186003931318851e-08, 'fear': 1.8931744620203972, 'happy': 1.9690800101557215e-06, 'sad': 92.69752502441406, 'surprise': 8.416282781809059e-07, 'neutral': 5.300816148519516}",sad,"{'x': 455, 'y': 167, 'w': 105, 'h': 135, 'left_eye': (494, 230), 'right_eye': (538, 227)}"
